"EEC_MEASURE";"UNIT_MEASURE";"PCS";"SEX";"AGE";"EMPFORM";"EMPSTA";"EDUC";"IMMI";"WKTIME";"ACTIVITY";"UNDEREMP";"UNEMPDUR";"COMPOHALO";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"EMP";"_Z";"20";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"Q86";"_T";"_T";"_T";"A";2024;37.1
"PT_AGE_IN_EMP_BY_PCS";"PT";"20";"M";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;10.2
"EMP";"_Z";"60";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"O";"_T";"_T";"_T";"A";2024;226.1
"EMP";"_Z";"_T";"M";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"E";"_T";"_T";"_T";"A";2024;3.3
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"50";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C29_30";"_T";"_T";"_T";"A";2024;2.5
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"40";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"F";"_T";"_T";"_T";"A";2024;17.9
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"30";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_X";"_T";"_T";"_T";"A";2024;17.9
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"50";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"E";"_T";"_T";"_T";"A";2024;8.7
"EMP";"_Z";"_T";"M";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"GTI";"_T";"_T";"_T";"A";2024;2048.7
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"TER";"_T";"_T";"_T";"A";2024;44.5
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"60";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_X";"_T";"_T";"_T";"A";2024;12
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"Q87_88";"_T";"_T";"_T";"A";2024;1.9
"PT_WKTIME_IN_EMP_BY_PCS";"PT";"63";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;88.3
"PT_EMPFORM_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE15";"211";"1_BIT";"_T";"_T";"_T";"J";"_T";"_T";"_T";"A";2024;74.4
"UNEMP";"_Z";"43";"F";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;52.4
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"FT";"C31T33";"_T";"_T";"_T";"A";2024;67.8
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"PT";"S";"_T";"_T";"_T";"A";2024;6
"PT_EDUC_EMPSTA_IN_POP_BY_AGE";"PT";"_T";"_T";"Y25T49";"_T";"_T";"4T5";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;15
"ACTPOP";"_Z";"_T";"_T";"Y30T34";"_T";"_T";"6T8";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1492.5
"EMP";"_Z";"44";"_T";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"FT";"H";"_T";"_T";"_T";"A";2024;89.6
"PT_AGE_IN_EMP_BY_PCS";"PT";"65";"F";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.8
"PT_AGE_IN_EMP_BY_PCS";"PT";"33";"F";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;7.2
"EMP";"_Z";"47";"M";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;113.9
"PT_AGE_IN_EMP_BY_PCS";"PT";"4_NP";"F";"Y35T39";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;16.1
"EMP";"_Z";"64";"M";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;223.7
"EMP";"_Z";"21";"M";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;41.4
"EMP";"_Z";"10";"M";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;19.4
"EMP";"_Z";"4_NP";"M";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;2.4
"PT_AGE_IN_EMP_BY_PCS";"PT";"42";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;64.9
"POP";"_Z";"_T";"F";"Y25T49";"_T";"3_BIT";"3A";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;308.4
"POP";"_Z";"_T";"M";"Y50T64";"_T";"1_BIT";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;793.2
"PT_EDUC_EMPSTA_IN_POP_BY_AGE";"PT";"_T";"F";"Y15T24";"_T";"_T";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;39.3
"P_COMPO_UNDEREMP";"_Z";"_T";"F";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"3";"_T";"_T";"A";2024;1.2
"POP";"_Z";"_T";"F";"Y15T89";"_T";"2_BIT";"3_X_353";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;305.7
"PT_EMPSTA_IN_POP";"PT";"_T";"M";"Y15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;2.4
"PT_WKTIME_IN_EMP_BY_AGE";"PT";"_T";"M";"Y20T24";"_T";"1_BIT";"_T";"_T";"PT";"_T";"_T";"_T";"_T";"A";2024;7.1
"PT_UNDEREMP_IN_EMP";"PT";"62";"M";"_T";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1
"PT_WKTIME_IN_EMP_BY_AGE";"PT";"_T";"F";"Y40T44";"_T";"1_BIT";"_T";"_T";"PT";"_T";"_T";"_T";"_T";"A";2024;13.3
"EMP";"_Z";"62";"_T";"Y20T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;79.2
"UNEMPRATE";"PT";"_T";"_T";"Y30T34";"_T";"2_BIT";"_T";"22";"_T";"_T";"_T";"_T";"_T";"A";2024;5.7
"UNEMP";"_Z";"50";"M";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;205
"UNEMPRATE";"PT";"30";"_T";"Y_GE15";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;3.9
"EMP";"_Z";"34";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;343.8
"EMP";"_Z";"52";"F";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;176.5
"UNEMP";"_Z";"_T";"_T";"Y35T39";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;219.6
"EMP";"_Z";"21";"_T";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;133.5
"EMP";"_Z";"65";"F";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;37.8
"PT_WKTIME_IN_EMP_BY_PCS";"PT";"62";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"FT";"_T";"_T";"_T";"_T";"A";2024;80.6
"PT_WKTIME_IN_EMP_BY_PCS";"PT";"54";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"PT";"_T";"_T";"_T";"_T";"A";2024;22.1
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"PT";"A";"_T";"_T";"_T";"A";2024;6.8
"PTEVENING";"PT";"60";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;20.1
"PTSUNDAY";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"OTQ";"_T";"_T";"_T";"A";2024;31.7
"PTEVENING";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_X";"_T";"_T";"_T";"A";2024;27.4
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"PT";"P";"_T";"_T";"_T";"A";2024;26.7
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"FT";"C28";"_T";"_T";"_T";"A";2024;96.1
"PTNIGHT";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"K";"_T";"_T";"_T";"A";2024;8.9
"EMP";"_Z";"_T";"_T";"Y15T74";"_T";"1_BIT";"_T";"10";"_T";"_X";"_T";"_T";"_T";"A";2024;67.8
"ACTRATE";"PT";"_T";"M";"Y15T64";"_T";"_T";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;67.8
"ACTPOP";"_Z";"_T";"F";"Y40T44";"_T";"_T";"3_X_353";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;359.1
"ACTRATE";"PT";"_T";"_T";"Y25T49";"_T";"_T";"6T8";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;94.3
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.1
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"F";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"RTU";"_T";"_T";"_T";"A";2024;20.6
"ACTPOP";"_Z";"_T";"F";"Y60T64";"_T";"_T";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;66.4
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"F";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"I";"_T";"_T";"_T";"A";2024;9.7
"ACTRATE";"PT";"_T";"_T";"Y30T34";"_T";"_T";"4T5";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;93.6
"PT_EMPSTA_IN_POP";"PT";"_T";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;83.8
"POP";"_Z";"_T";"F";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1555.3
"POP";"_Z";"_T";"_T";"Y30";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;720.3
"PT_EMPSTA_IN_POP";"PT";"_T";"_T";"Y42";"_T";"3_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;11.3
"EMPRATE";"PT";"_T";"M";"Y45T49";"_T";"1_BIT";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;74.9
"EMPRATE";"PT";"_T";"_T";"Y25T29";"_T";"1_BIT";"3A";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;74.5
"EMPRATE";"PT";"_T";"F";"Y45T49";"_T";"1_BIT";"_T";"22";"_T";"_T";"_T";"_T";"_T";"A";2024;87.5
"POP";"_Z";"_T";"M";"Y19";"_T";"3_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;212.4
"POP";"_Z";"_T";"_T";"Y37";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;708.8
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"50";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C21";"_T";"_T";"_T";"A";2024;4.1
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_X";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"M_N";"_T";"_T";"_T";"A";2024;0.2
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"40";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C24_25";"_T";"_T";"_T";"A";2024;4.9
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"J62_63";"_T";"_T";"_T";"A";2024;18.1
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"20";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C26";"_T";"_T";"_T";"A";2024;1.7
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"10";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C16T18";"_T";"_T";"_T";"A";2024;0
"EMP";"_Z";"_T";"F";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"C24_25";"_T";"_T";"_T";"A";2024;10
"EMP";"_Z";"_T";"F";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"K";"_T";"_T";"_T";"A";2024;353.2
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"20";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C31T33";"_T";"_T";"_T";"A";2024;12.5
"PT_AGE_IN_EMP_BY_PCS";"PT";"37";"M";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"EMP";"_Z";"20";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"Q86";"_T";"_T";"_T";"A";2024;6.5
"EMP";"_Z";"20";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"A";"_T";"_T";"_T";"A";2024;3.9
"EMP";"_Z";"_X";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"N";"_T";"_T";"_T";"A";2024;3.6
"EMP";"_Z";"50";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"S";"_T";"_T";"_T";"A";2024;46.3
"PT_AGE_IN_EMP_BY_PCS";"PT";"67";"M";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;19
"PT_AGE_IN_EMP_BY_PCS";"PT";"3_NP";"M";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;10.2
"PT_AGE_IN_EMP_BY_PCS";"PT";"6_NP";"M";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;8.7
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C16T18";"_T";"_T";"_T";"A";2024;100
"PT_EDUC_IN_POP";"PT";"_T";"_T";"Y55T59";"_T";"_T";"6T8";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;18.4
"POP";"_Z";"_T";"_T";"Y80T84";"_T";"_T";"4T5";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;102.6
"POP";"_Z";"_T";"_T";"Y15T24";"_T";"3_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;4594.7
"POP";"_Z";"_T";"_T";"Y15T89";"_T";"3_BIT";"4T5";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1710.2
"PT_UNDEREMP_IN_EMP";"PT";"33";"M";"_T";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0.4
"PT_UNDEREMP_IN_EMP";"PT";"23";"F";"_T";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0.2
"PT_EDUC_EMPSTA_IN_POP_BY_AGE";"PT";"_T";"M";"Y65T89";"_T";"3_BIT";"3A";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;28.9
"PT_EDUC_IN_POP";"PT";"_T";"_T";"Y80T84";"_T";"_T";"3_X_353";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;10.5
"POP";"_Z";"_T";"_T";"Y15T24";"_T";"_T";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;3289.4
"ACTPOP";"_Z";"_T";"M";"Y25T49";"_T";"_T";"4T5";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1341.3
"ACTPOP";"_Z";"_T";"F";"Y15T19";"_T";"_T";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;119.8
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"F";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"H";"_T";"_T";"_T";"A";2024;14.2
"EMP";"_Z";"_T";"_T";"Y_GE15";"23T25";"1_BIT";"_T";"_T";"_T";"OTQ";"_T";"_T";"_T";"A";2024;125.5
"ACTPOP";"_Z";"_T";"F";"Y35T39";"_T";"_T";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;201.2
"ACTPOP";"_Z";"_T";"F";"Y50T64";"_T";"_T";"6T8";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1123
"PT_EMPFORM_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"26";"1_BIT";"_T";"_T";"_T";"BTE";"_T";"_T";"_T";"A";2024;3.4
"EMP";"_Z";"_T";"M";"Y15T74";"_T";"1_BIT";"_T";"22";"_T";"_X";"_T";"_T";"_T";"A";2024;206.1
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"E";"_T";"_T";"_T";"A";2024;72
"UNEMPB";"_Z";"_T";"F";"Y50T64";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"LT";"_T";"A";2024;101.2
"EMP";"_Z";"2_NP";"_T";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"UNEMP";"_Z";"_T";"F";"Y50T64";"_T";"2_BIT";"3_X_353";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;43.6
"EMP";"_Z";"46";"_T";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;258.4
"UNEMP";"_Z";"_T";"M";"Y20T24";"_T";"2_BIT";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;42.2
"UNEMPRATE";"PT";"_T";"_T";"Y30T34";"_T";"2_BIT";"_T";"10";"_T";"_T";"_T";"_T";"_T";"A";2024;12.3
"UNEMPRATE";"PT";"_T";"_T";"Y40T44";"_T";"2_BIT";"_T";"22";"_T";"_T";"_T";"_T";"_T";"A";2024;4.3
"UNEMP";"_Z";"_T";"M";"Y30T34";"_T";"2_BIT";"_T";"21";"_T";"_T";"_T";"_T";"_T";"A";2024;25.9
"EMP";"_Z";"2_NP";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0.5
"PT_AGE_IN_EMP_BY_PCS";"PT";"68";"F";"Y20T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.5
"PT_AGE_IN_EMP_BY_PCS";"PT";"68";"_T";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;10.8
"PT_AGE_IN_EMP_BY_PCS";"PT";"43";"F";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;10.4
"PT_AGE_IN_EMP_BY_PCS";"PT";"52";"F";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;10.7
"PT_AGE_IN_EMP_BY_PCS";"PT";"46";"F";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;6.5
"EMP";"_Z";"40";"F";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;196.9
"PT_AGE_IN_EMP_BY_PCS";"PT";"37";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;14.2
"EMP";"_Z";"37";"M";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;98.2
"PT_AGE_IN_EMP_BY_PCS";"PT";"38";"F";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1.7
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"M73T75";"_T";"_T";"_T";"A";2024;46.9
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"FT";"C29_30";"_T";"_T";"_T";"A";2024;95.2
"PTEVENING";"PT";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"BTE";"_T";"_T";"_T";"A";2024;28.5
"PT_WKTIME_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"C21";"_T";"_T";"_T";"A";2024;45.2
"EMP";"_Z";"42";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"PT";"_T";"_T";"_T";"_T";"A";2024;95.3
"EMP";"_Z";"60";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"PT";"_T";"_T";"_T";"_T";"A";2024;329.1
"EMP";"_Z";"31";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"FT";"_T";"_T";"_T";"_T";"A";2024;214.1
"PT_WKTIME_IN_EMP_BY_PCS";"PT";"47";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"FT";"_T";"_T";"_T";"_T";"A";2024;94.9
"EMP";"_Z";"_T";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"PT";"J62_63";"_T";"_T";"_T";"A";2024;22
"POP";"_Z";"_T";"F";"Y39";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;424.7
"POP";"_Z";"_T";"F";"Y48";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;404.2
"EMPRATE";"PT";"_T";"_T";"Y30T34";"_T";"1_BIT";"_T";"10";"_T";"_T";"_T";"_T";"_T";"A";2024;66.3
"POP";"_Z";"_T";"F";"Y25T29";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1881.1
"POP";"_Z";"_T";"M";"Y58";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;330.5
"PT_EMPSTA_IN_POP";"PT";"_T";"F";"Y46";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;49.4
"POP";"_Z";"_T";"_T";"Y19";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;81.9
"PT_EMPSTA_IN_POP";"PT";"_T";"F";"Y59";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;51.6
"POP";"_Z";"_T";"_T";"Y39";"_T";"3_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;87.4
"PT_AGE_IN_EMP_BY_ACTIVITY";"PT";"_T";"_T";"Y15T24";"_T";"1_BIT";"_T";"_T";"_T";"TER";"_T";"_T";"_T";"A";2024;9.2
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"20";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"L";"_T";"_T";"_T";"A";2024;23.6
"EMP";"_Z";"_T";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"C26";"_T";"_T";"_T";"A";2024;52.1
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_X";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"J62_63";"_T";"_T";"_T";"A";2024;0.6
"EMP";"_Z";"_T";"_T";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"E";"_T";"_T";"_T";"A";2024;3.3
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"40";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"RTU";"_T";"_T";"_T";"A";2024;11.6
"PT_PCS_IN_EMP_BY_ACTIVITY";"PT";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"GTI";"_T";"_T";"_T";"A";2024;58.1
"EMP";"_Z";"_T";"F";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"J58T60";"_T";"_T";"_T";"A";2024;1.7
"EMP";"_Z";"_T";"M";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_X";"_T";"_T";"_T";"A";2024;66.5
"PT_EDUC_EMPSTA_IN_POP_BY_AGE";"PT";"_T";"M";"Y15T89";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;100
"PT_EDUC_IN_POP";"PT";"_T";"M";"Y80T84";"_T";"_T";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;43.1
"PT_EDUC_EMPSTA_IN_POP_BY_AGE";"PT";"_T";"F";"Y65T89";"_T";"3_BIT";"4T5";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;9.5
"PT_WKTIME_IN_EMP_BY_AGE";"PT";"_T";"_T";"Y50T54";"_T";"1_BIT";"_T";"_T";"PT";"_T";"_T";"_T";"_T";"A";2024;15.7
"PT_EDUC_EMPSTA_IN_POP_BY_AGE";"PT";"_T";"_T";"Y65T89";"_T";"_T";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;41.3
"EMP";"_Z";"_T";"M";"Y_GE15";"2";"1_BIT";"_T";"_T";"FT";"_T";"_T";"_T";"_T";"A";2024;11515.9
"P_COMPO_UNDEREMP";"_Z";"_T";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"3";"_T";"_T";"A";2024;14.4
"PT_EDUC_IN_POP";"PT";"_T";"M";"Y20T24";"_T";"_T";"0T2";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;11.6
"PT_EDUC_IN_POP";"PT";"_T";"M";"Y15T89";"_T";"_T";"3A";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;22.7
"EMP";"_Z";"_T";"F";"Y_GE15";"271";"1_BIT";"_T";"_T";"_T";"K";"_T";"_T";"_T";"A";2024;1
"ACTPOP";"_Z";"_T";"M";"Y40T44";"_T";"_T";"3_X_353";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;418
"ACTRATE";"PT";"_T";"F";"Y25T49";"_T";"_T";"_T";"22";"_T";"_T";"_T";"_T";"_T";"A";2024;88.7
"EMP";"_Z";"_T";"F";"Y_GE15";"23T25";"1_BIT";"_T";"_T";"_T";"GTI";"_T";"_T";"_T";"A";2024;106
